SUBDIVISION,YEAR,JAN,FEB,MAR,APR
ANDAMAN & NICOBAR ISLANDS,1901,49.20,87.10,29.20,2.30
ANDAMAN & NICOBAR ISLANDS,1902,0.00,159.80,12.20,0.00
ANDAMAN & NICOBAR ISLANDS,1903,12.70,144.00,0.00,1.00
ANDAMAN & NICOBAR ISLANDS,1904,9.40,14.70,0.00,202.40
ANDAMAN & NICOBAR ISLANDS,1905,1.30,0.00,3.30,26.90
ANDAMAN & NICOBAR ISLANDS,1906,36.60,0.00,0.00,0.00
ANDAMAN & NICOBAR ISLANDS,1907,110.70,0.00,113.30,21.60
ANDAMAN & NICOBAR ISLANDS,1908,20.90,85.10,0.00,29.0
ANDAMAN & NICOBAR ISLANDS,1910,26.60,22.70,206.30,30.0
ANDAMAN & NICOBAR ISLANDS,1911,0.00,8.40,0.00,122.50
ANDAMAN & NICOBAR ISLANDS,1912,583.70,0.80,0.00,21.90
ANDAMAN & NICOBAR ISLANDS,1913,84.80,0.50,1.30,2.50
ANDAMAN & NICOBAR ISLANDS,1914,0.00,0.00,0.00,37.70
ANDAMAN & NICOBAR ISLANDS,1915,45.00,56.70,33.30,40.90
ANDAMAN & NICOBAR ISLANDS,1916,0.00,0.00,0.00,0.50
ANDAMAN & NICOBAR ISLANDS,1917,8.00,3.60,112.00,4.50
ANDAMAN & NICOBAR ISLANDS,1918,77.40,6.90,11.40,10.70